fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00018-view03.png,ceownik,plaskownik,0.15334082,0.26203242,0.14743695,0.43718985
ceownik_00048-view03.png,ceownik,plaskownik,0.17492732,0.1952997,0.15696119,0.47281176
ceownik_00053-view03.png,ceownik,plaskownik,0.29586646,0.20924331,0.10148526,0.39340496
ceownik_00061-view01.png,ceownik,dwuteownik,0.3341518,0.64742583,0.015283626,0.003138702
ceownik_00061-view04.png,ceownik,dwuteownik,0.3341518,0.64742583,0.015283626,0.003138702
ceownik_00069-view04.png,ceownik,dwuteownik,0.047229595,0.93846864,0.00405263,0.010249165
ceownik_00076-view03.png,ceownik,katownik,0.27670327,0.013214837,0.70441973,0.005662166
ceownik_00077-view01.png,ceownik,dwuteownik,0.19713855,0.79800904,0.004277602,0.00057477417
ceownik_00102-view02.png,ceownik,dwuteownik,0.28170988,0.71818477,7.9963575e-05,2.5312102e-05
ceownik_00102-view03.png,ceownik,dwuteownik,0.2816006,0.718294,8.00454e-05,2.533177e-05
ceownik_00108-view01.png,ceownik,dwuteownik,0.24379721,0.75553,0.00038211295,0.0002906779
ceownik_00156-view04.png,ceownik,plaskownik,0.25334013,0.2944074,0.0911102,0.36114228
ceownik_00172-view04.png,ceownik,dwuteownik,0.41744813,0.5817389,0.00072879327,8.4175845e-05
ceownik_00174-view02.png,ceownik,plaskownik,0.22863558,0.2218179,0.085796095,0.46375048
ceownik_00174-view04.png,ceownik,plaskownik,0.2508775,0.28958905,0.09081995,0.3687135
ceownik_00179-view02.png,ceownik,dwuteownik,0.1864086,0.6145427,0.19668509,0.0023635724
ceownik_00179-view03.png,ceownik,dwuteownik,0.17636266,0.8209149,0.001840627,0.0008817329
ceownik_00187-view03.png,ceownik,plaskownik,0.2170171,0.25943953,0.058331035,0.46521237
ceownik_00201-view03.png,ceownik,dwuteownik,0.3377929,0.64600825,0.00956272,0.0066361683
ceownik_00205-view02.png,ceownik,dwuteownik,0.2342531,0.4371113,0.04566222,0.2829734
ceownik_00205-view03.png,ceownik,dwuteownik,0.37678778,0.3822834,0.04666975,0.19425903
ceownik_00205-view04.png,ceownik,dwuteownik,0.26727217,0.5993035,0.09634334,0.037080985
ceownik_00209-view03.png,ceownik,dwuteownik,0.35782722,0.6101341,0.024408536,0.007630147
ceownik_00237-view02.png,ceownik,plaskownik,0.17879279,0.36101815,0.08041939,0.37976965
ceownik_00237-view04.png,ceownik,dwuteownik,0.24072266,0.4478694,0.12089619,0.19051172
dwuteownik_00009-view02.png,dwuteownik,plaskownik,0.1505094,0.3539867,0.058020666,0.43748322
dwuteownik_00009-view03.png,dwuteownik,plaskownik,0.15041612,0.35366085,0.057934325,0.43798876
dwuteownik_00024-view02.png,dwuteownik,plaskownik,0.19414093,0.31526738,0.08305908,0.40753266
dwuteownik_00025-view01.png,dwuteownik,ceownik,0.40351233,0.34530765,0.21728154,0.033898473
dwuteownik_00042-view04.png,dwuteownik,plaskownik,0.1717243,0.30163816,0.09287264,0.4337649
dwuteownik_00043-view02.png,dwuteownik,katownik,0.02730059,0.1224405,0.79301244,0.057246495
dwuteownik_00043-view03.png,dwuteownik,katownik,0.027175654,0.12205006,0.7934485,0.057325795
dwuteownik_00046-view02.png,dwuteownik,plaskownik,0.0013277921,0.0014912119,0.14168213,0.8554989
dwuteownik_00046-view03.png,dwuteownik,plaskownik,0.001331201,0.0014940543,0.14201385,0.85516095
dwuteownik_00129-view01.png,dwuteownik,katownik,0.06994334,0.2995503,0.611524,0.018982371
dwuteownik_00129-view03.png,dwuteownik,katownik,0.023497514,0.04575733,0.92644066,0.0043045403
dwuteownik_00141-view01.png,dwuteownik,ceownik,0.89724386,0.10212898,0.00037664754,0.00025055584
dwuteownik_00170-view01.png,dwuteownik,ceownik,0.8285866,0.15067616,0.017104778,0.003632511
dwuteownik_00173-view03.png,dwuteownik,ceownik,0.9134867,0.086351275,7.110334e-05,9.091646e-05
dwuteownik_00180-view03.png,dwuteownik,ceownik,0.53223974,0.45939773,0.0062266146,0.0021358782
dwuteownik_00180-view04.png,dwuteownik,ceownik,0.6910396,0.29364175,0.012628739,0.0026899385
dwuteownik_00190-view03.png,dwuteownik,katownik,0.015383918,0.17376444,0.8101682,0.00068336335
dwuteownik_00218-view01.png,dwuteownik,ceownik,0.7377351,0.2402708,0.016704544,0.0052896244
dwuteownik_00218-view02.png,dwuteownik,ceownik,0.8835965,0.095156826,0.018443568,0.0028031152
dwuteownik_00219-view02.png,dwuteownik,katownik,0.22339974,0.13468538,0.49413025,0.14778464
dwuteownik_00219-view04.png,dwuteownik,ceownik,0.50984985,0.2956005,0.17987019,0.014679477
katownik_00012-view02.png,katownik,dwuteownik,0.011366392,0.59930617,0.38256115,0.0067662364
katownik_00023-view03.png,katownik,plaskownik,0.20612945,0.2667284,0.25026548,0.2768767
katownik_00191-view02.png,katownik,plaskownik,0.13451731,0.19494349,0.3038403,0.36669886
katownik_00229-view01.png,katownik,ceownik,0.6707896,0.19284442,0.13312581,0.0032401644
katownik_00229-view02.png,katownik,dwuteownik,0.17511341,0.36481547,0.15084568,0.3092255
plaskownik_00017-view02.png,plaskownik,katownik,0.033478566,0.011698335,0.8291467,0.12567638
plaskownik_00023-view03.png,plaskownik,ceownik,0.9220681,0.0017578403,0.0036869906,0.07248703
plaskownik_00029-view03.png,plaskownik,katownik,0.18177745,0.09750367,0.43442163,0.28629723
