fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00017-view01.png,ceownik,dwuteownik,0.37113404,0.6207391,0.00024118653,0.007885662
ceownik_00038-view04.png,ceownik,plaskownik,0.42517805,0.011411737,0.056278884,0.5071313
ceownik_00048-view04.png,ceownik,dwuteownik,0.37391025,0.6137156,0.00048946304,0.011884802
ceownik_00055-view03.png,ceownik,plaskownik,0.25574952,0.020870393,0.037612304,0.6857678
ceownik_00063-view01.png,ceownik,plaskownik,0.022745365,0.00289311,6.503255e-05,0.9742965
dwuteownik_00024-view01.png,dwuteownik,plaskownik,0.18756185,0.014612561,0.02072069,0.7771049
dwuteownik_00042-view03.png,dwuteownik,plaskownik,0.14135799,0.012346674,0.013431917,0.83286345
dwuteownik_00083-view02.png,dwuteownik,ceownik,0.5539245,0.4388838,0.00011825138,0.0070734397
katownik_00008-view01.png,katownik,plaskownik,0.3222362,0.14280446,0.20989652,0.3250628
katownik_00008-view03.png,katownik,plaskownik,0.27294198,0.21226403,0.24027458,0.27451944
katownik_00009-view03.png,katownik,plaskownik,0.2887381,0.18889181,0.23169784,0.29067227
katownik_00010-view03.png,katownik,plaskownik,0.12965754,0.07909107,0.023369133,0.7678823
katownik_00012-view01.png,katownik,plaskownik,0.18688853,0.021424439,0.025521724,0.76616526
katownik_00012-view03.png,katownik,plaskownik,0.17662409,0.099108845,0.059121124,0.66514593
katownik_00016-view03.png,katownik,plaskownik,0.3109991,0.15773718,0.21776013,0.3135036
katownik_00018-view04.png,katownik,plaskownik,0.40608323,0.049277596,0.13218154,0.41245767
katownik_00019-view01.png,katownik,plaskownik,0.31423157,0.1533868,0.21555541,0.31682616
katownik_00020-view01.png,katownik,plaskownik,0.41689098,0.039798845,0.11933816,0.42397207
