fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00014-view03.png,ceownik,dwuteownik,0.38776484,0.5535908,0.003452883,0.05519151
ceownik_00015-view04.png,ceownik,dwuteownik,0.36487725,0.52773833,0.009659224,0.097725146
ceownik_00038-view04.png,ceownik,plaskownik,0.23325755,0.19339462,0.18099147,0.3923564
ceownik_00048-view04.png,ceownik,dwuteownik,0.422715,0.56506425,0.0002585056,0.011962204
ceownik_00055-view03.png,ceownik,dwuteownik,0.27519205,0.37954748,0.021293294,0.32396716
ceownik_00063-view01.png,ceownik,plaskownik,0.08596253,0.19248055,0.00015423875,0.7214026
dwuteownik_00024-view01.png,dwuteownik,plaskownik,0.23288023,0.1923174,0.17931649,0.39548594
dwuteownik_00028-view01.png,dwuteownik,ceownik,0.64212483,0.3234665,0.01276693,0.021641754
dwuteownik_00028-view02.png,dwuteownik,ceownik,0.68860966,0.28313574,0.009236681,0.019017873
dwuteownik_00029-view04.png,dwuteownik,ceownik,0.530934,0.46039742,0.00044948875,0.008219133
dwuteownik_00042-view03.png,dwuteownik,plaskownik,0.264917,0.21952793,0.17738445,0.33817065
dwuteownik_00083-view02.png,dwuteownik,ceownik,0.67608106,0.31588405,0.0017235157,0.006311433
katownik_00008-view01.png,katownik,ceownik,0.27940956,0.26332742,0.22526997,0.23199303
katownik_00008-view03.png,katownik,ceownik,0.25455388,0.24777272,0.24837303,0.24930035
katownik_00009-view03.png,katownik,ceownik,0.310273,0.2810985,0.19810428,0.21052419
katownik_00010-view03.png,katownik,dwuteownik,0.3316966,0.3938992,0.0064451066,0.26795906
katownik_00012-view01.png,katownik,plaskownik,0.31146014,0.008786387,0.018786522,0.66096693
katownik_00012-view03.png,katownik,ceownik,0.39871553,0.3219956,0.12903312,0.15025574
katownik_00016-view03.png,katownik,ceownik,0.25455388,0.24777272,0.24837303,0.24930035
katownik_00018-view04.png,katownik,ceownik,0.25455388,0.24777272,0.24837303,0.24930035
katownik_00019-view01.png,katownik,ceownik,0.25455388,0.24777272,0.24837303,0.24930035
katownik_00020-view01.png,katownik,ceownik,0.40797448,0.3253432,0.12254394,0.14413849
plaskownik_00001-view04.png,plaskownik,ceownik,0.46634457,0.31038797,0.07434199,0.1489255
plaskownik_00016-view03.png,plaskownik,ceownik,0.3717793,0.28912872,0.13127673,0.20781524
plaskownik_00056-view03.png,plaskownik,ceownik,0.35464048,0.28276607,0.14314464,0.2194488
plaskownik_00067-view04.png,plaskownik,ceownik,0.41761303,0.2559655,0.07189444,0.2545271
plaskownik_00089-view01.png,plaskownik,ceownik,0.44526252,0.30968207,0.086563684,0.15849172
plaskownik_00121-view02.png,plaskownik,ceownik,0.41878414,0.3290061,0.11514868,0.13706112
plaskownik_00190-view02.png,plaskownik,ceownik,0.43416232,0.29434258,0.08570324,0.18579191
