fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00003-view02.png,ceownik,plaskownik,0.09123597,0.09771016,0.14414643,0.6669074
ceownik_00053-view01.png,ceownik,plaskownik,0.07440493,0.16081606,0.31244102,0.45233795
ceownik_00053-view03.png,ceownik,plaskownik,0.07560251,0.1512928,0.29166117,0.48144355
ceownik_00054-view02.png,ceownik,plaskownik,0.08149866,0.083965585,0.14656377,0.687972
dwuteownik_00022-view03.png,dwuteownik,ceownik,0.6394095,0.2339792,0.026048029,0.10056332
dwuteownik_00027-view01.png,dwuteownik,plaskownik,0.1843713,0.26670378,0.11307412,0.43585074
dwuteownik_00029-view02.png,dwuteownik,ceownik,0.5837528,0.33953613,0.009344584,0.06736654
dwuteownik_00030-view02.png,dwuteownik,ceownik,0.7483415,0.2044319,0.0048677814,0.042358756
dwuteownik_00033-view01.png,dwuteownik,plaskownik,0.11326126,0.19279204,0.05934043,0.6346062
dwuteownik_00043-view01.png,dwuteownik,plaskownik,0.06653456,0.16770673,0.060475837,0.7052829
dwuteownik_00046-view02.png,dwuteownik,plaskownik,0.12674472,0.14872357,0.12206959,0.6024621
dwuteownik_00069-view04.png,dwuteownik,ceownik,0.7872705,0.18706581,0.0015722339,0.02409145
dwuteownik_00085-view03.png,dwuteownik,ceownik,0.6735853,0.2717264,0.0053030285,0.049385265
katownik_00004-view01.png,katownik,ceownik,0.30288458,0.20488065,0.23216037,0.26007438
katownik_00004-view02.png,katownik,ceownik,0.3095852,0.21939477,0.2161081,0.25491196
katownik_00010-view01.png,katownik,plaskownik,0.32175356,0.0823888,0.12337115,0.47248653
katownik_00013-view02.png,katownik,plaskownik,0.032618605,0.034193646,0.081629604,0.8515582
