Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00018-view03.png,ceownik,dwuteownik,0.03144884,0.96855116,3.2093812e-08,1.9892678e-08
ceownik_00021-view04.png,ceownik,dwuteownik,0.1957919,0.80420756,3.4636426e-07,1.26967e-07
ceownik_00053-view03.png,ceownik,plaskownik,0.007997039,0.00074552576,0.0032018307,0.9880555
ceownik_00064-view02.png,ceownik,dwuteownik,0.20156431,0.7984357,1.089231e-09,5.5542175e-09
ceownik_00064-view04.png,ceownik,dwuteownik,0.38147035,0.6185106,5.1400066e-06,1.38819505e-05
ceownik_00067-view01.png,ceownik,dwuteownik,0.023336716,0.976653,7.697699e-06,2.704328e-06
ceownik_00071-view01.png,ceownik,dwuteownik,0.032604676,0.9673953,4.084218e-09,2.4156592e-09
ceownik_00085-view04.png,ceownik,dwuteownik,0.48584965,0.5139159,0.00022606218,8.3924215e-06
ceownik_00087-view01.png,ceownik,dwuteownik,0.2929399,0.7067042,0.00035361855,2.2034571e-06
ceownik_00093-view03.png,ceownik,dwuteownik,0.35213092,0.6188291,0.026431404,0.0026086145
ceownik_00102-view02.png,ceownik,dwuteownik,0.44422308,0.55577683,6.233553e-09,3.4410387e-08
ceownik_00102-view03.png,ceownik,dwuteownik,0.46827617,0.5317234,1.6490566e-07,2.5367717e-07
ceownik_00119-view03.png,ceownik,dwuteownik,0.40682465,0.5931744,7.686568e-07,1.2684197e-07
ceownik_00127-view04.png,ceownik,dwuteownik,0.09925388,0.90067387,6.827328e-05,3.952773e-06
ceownik_00138-view04.png,ceownik,dwuteownik,0.25234348,0.7473489,0.00020999373,9.761322e-05
ceownik_00139-view04.png,ceownik,dwuteownik,0.07442649,0.92556566,7.001719e-06,8.772058e-07
ceownik_00151-view04.png,ceownik,dwuteownik,0.013010072,0.9869899,1.0411971e-08,1.2101844e-09
ceownik_00160-view04.png,ceownik,dwuteownik,0.41995296,0.5800387,5.5067608e-06,2.7658482e-06
ceownik_00162-view02.png,ceownik,dwuteownik,0.23560195,0.7643013,8.15528e-05,1.521772e-05
ceownik_00163-view04.png,ceownik,dwuteownik,0.44197157,0.557569,0.0003498859,0.00010944597
ceownik_00177-view01.png,ceownik,dwuteownik,0.4252137,0.57478625,1.4353484e-08,2.0663103e-08
ceownik_00187-view03.png,ceownik,dwuteownik,0.2712373,0.7286728,4.2423286e-05,4.74793e-05
ceownik_00210-view01.png,ceownik,dwuteownik,0.11781751,0.8821793,1.8113885e-06,1.3032231e-06
ceownik_00213-view03.png,ceownik,dwuteownik,0.47368923,0.52414995,0.0011689991,0.000991786
ceownik_00233-view01.png,ceownik,dwuteownik,0.14109282,0.85736805,0.0013448172,0.0001942714
ceownik_00244-view01.png,ceownik,dwuteownik,0.04122166,0.95877796,2.1425627e-07,2.519428e-07
ceownik_00249-view01.png,ceownik,dwuteownik,0.4321144,0.5678856,1.1945049e-10,7.319264e-11
ceownik_00249-view02.png,ceownik,dwuteownik,0.2039566,0.79604286,1.04302025e-07,4.3169493e-07
dwuteownik_00043-view02.png,dwuteownik,ceownik,0.46764362,0.3731341,0.1456198,0.013602471
dwuteownik_00184-view04.png,dwuteownik,ceownik,0.80281305,0.19718419,7.7980746e-07,2.0100865e-06
dwuteownik_00198-view01.png,dwuteownik,ceownik,0.693844,0.2010952,0.102878526,0.0021822632
dwuteownik_00216-view01.png,dwuteownik,ceownik,0.7897721,0.20993525,0.00011740576,0.00017516779
katownik_00222-view04.png,katownik,dwuteownik,0.120993,0.8055145,0.06859994,0.004892513
