Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00080-view03.png,ceownik,katownik,0.26342177,0.24691175,0.4794847,0.010181784
ceownik_00181-view02.png,ceownik,katownik,0.30897692,0.09536882,0.5607167,0.03493759
ceownik_00159-view01.png,ceownik,dwuteownik,0.3047998,0.69269794,0.0024513474,5.08808e-05
ceownik_00002-view03.png,ceownik,plaskownik,0.11752285,0.18690805,0.08212452,0.61344457
ceownik_00081-view04.png,ceownik,katownik,0.2419262,0.031194212,0.72671896,0.0001606032
ceownik_00185-view01.png,ceownik,dwuteownik,0.35391742,0.36538824,0.27564466,0.0050497293
ceownik_00124-view03.png,ceownik,dwuteownik,0.2758564,0.3646288,0.32950926,0.030005591
ceownik_00123-view03.png,ceownik,dwuteownik,0.2503359,0.25416127,0.2446434,0.2508594
ceownik_00006-view04.png,ceownik,dwuteownik,0.4659034,0.4981967,0.034438938,0.001460954
ceownik_00015-view05.png,ceownik,dwuteownik,0.43418995,0.4438463,0.119512804,0.002450958
ceownik_00024-view01.png,ceownik,dwuteownik,0.44105634,0.5479918,0.010946322,5.445432e-06
ceownik_00241-view02.png,ceownik,katownik,0.29071495,0.30539984,0.3485684,0.0553168
ceownik_00245-view02.png,ceownik,dwuteownik,0.35457247,0.6230437,0.021945592,0.0004381451
ceownik_00078-view03.png,ceownik,katownik,0.3682622,0.04601649,0.5852287,0.0004926026
ceownik_00202-view02.png,ceownik,katownik,0.28647047,0.34913242,0.34945568,0.014941494
ceownik_00005-view02.png,ceownik,dwuteownik,0.2976563,0.6758319,0.025164396,0.0013473997
ceownik_00048-view03.png,ceownik,katownik,0.24282447,0.19387838,0.47776416,0.085533075
ceownik_00170-view01.png,ceownik,plaskownik,0.0505799,0.018292153,0.114047125,0.8170808
ceownik_00174-view05.png,ceownik,plaskownik,0.32035905,0.06942488,0.004789854,0.6054262
ceownik_00181-view03.png,ceownik,dwuteownik,0.3246796,0.6163486,0.0578425,0.0011293325
ceownik_00140-view02.png,ceownik,dwuteownik,0.1592535,0.49438122,0.24448068,0.10188463
ceownik_00170-view04.png,ceownik,dwuteownik,0.305088,0.6882527,0.006655599,3.7621223e-06
ceownik_00122-view01.png,ceownik,dwuteownik,0.2820837,0.69746953,0.020401938,4.4877666e-05
ceownik_00021-view01.png,ceownik,katownik,0.29187125,0.29342756,0.33417794,0.080523334
ceownik_00249-view04.png,ceownik,dwuteownik,0.16335529,0.82682735,0.0065377047,0.0032797158
ceownik_00067-view05.png,ceownik,plaskownik,0.0013692944,0.0018608252,0.00029671073,0.99647313
ceownik_00242-view05.png,ceownik,plaskownik,0.2668873,0.021171404,0.026594117,0.6853472
ceownik_00166-view03.png,ceownik,dwuteownik,0.1742397,0.70043564,0.047488045,0.07783657
ceownik_00069-view04.png,ceownik,plaskownik,0.0008346062,0.00044276717,0.016512632,0.98221004
ceownik_00139-view02.png,ceownik,katownik,0.30997285,0.32471514,0.35512927,0.010182821
ceownik_00001-view01.png,ceownik,plaskownik,0.04230987,0.15634528,0.0042972774,0.7970476
ceownik_00227-view02.png,ceownik,katownik,0.2544926,0.3033868,0.4228263,0.019294363
