Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
ceownik_00025-view02.png,ceownik,inny,0.757844865322113
ceownik_00063-view02.png,ceownik,inny,0.8423870205879211
ceownik_00068-view01.png,ceownik,inny,0.5559982657432556
ceownik_00068-view03.png,ceownik,inny,0.6767469644546509
ceownik_00140-view03.png,ceownik,inny,0.6954709887504578
ceownik_00244-view02.png,ceownik,inny,0.8021093010902405
ceownik_00247-view03.png,ceownik,inny,0.7972526550292969
katownik_00008-view01.png,inny,ceownik,0.7271034419536591
plaskownik_00019-view02.png,inny,ceownik,0.8444997817277908
plaskownik_00022-view04.png,inny,ceownik,0.8807779550552368
