Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
ceownik_00001-view03.png,ceownik,inny,0.9995719790458679
ceownik_00016-view01.png,ceownik,inny,0.9918180704116821
ceownik_00035-view02.png,ceownik,inny,0.9814627170562744
ceownik_00035-view03.png,ceownik,inny,0.9712698459625244
ceownik_00035-view04.png,ceownik,inny,0.7778667211532593
ceownik_00051-view05.png,ceownik,inny,0.8225035667419434
ceownik_00054-view04.png,ceownik,inny,0.9899681806564331
ceownik_00059-view02.png,ceownik,inny,0.8839368224143982
ceownik_00065-view04.png,ceownik,inny,0.9710086584091187
ceownik_00069-view01.png,ceownik,inny,0.9899862408638
ceownik_00075-view01.png,ceownik,inny,0.6713323593139648
ceownik_00075-view04.png,ceownik,inny,0.9999240636825562
ceownik_00079-view01.png,ceownik,inny,0.5651368498802185
ceownik_00082-view05.png,ceownik,inny,0.8552708029747009
ceownik_00088-view01.png,ceownik,inny,0.8857808113098145
ceownik_00090-view04.png,ceownik,inny,0.9960750937461853
ceownik_00092-view03.png,ceownik,inny,0.6426041126251221
ceownik_00094-view02.png,ceownik,inny,0.8195025324821472
ceownik_00098-view02.png,ceownik,inny,0.5050427317619324
ceownik_00110-view04.png,ceownik,inny,0.9521501064300537
ceownik_00110-view05.png,ceownik,inny,0.927212655544281
ceownik_00111-view04.png,ceownik,inny,0.9002358317375183
ceownik_00116-view03.png,ceownik,inny,0.9366722106933594
ceownik_00119-view03.png,ceownik,inny,0.8575870990753174
ceownik_00135-view01.png,ceownik,inny,0.5362637639045715
ceownik_00142-view02.png,ceownik,inny,0.9234695434570312
ceownik_00148-view03.png,ceownik,inny,0.9958683252334595
ceownik_00156-view04.png,ceownik,inny,0.969875693321228
ceownik_00161-view03.png,ceownik,inny,0.6885796785354614
ceownik_00166-view02.png,ceownik,inny,0.9961822628974915
ceownik_00169-view02.png,ceownik,inny,0.9558087587356567
ceownik_00172-view01.png,ceownik,inny,0.9820752739906311
ceownik_00180-view03.png,ceownik,inny,0.9276531338691711
ceownik_00187-view02.png,ceownik,inny,0.8703218102455139
ceownik_00196-view01.png,ceownik,inny,0.9762707948684692
ceownik_00196-view03.png,ceownik,inny,0.9904218912124634
ceownik_00204-view02.png,ceownik,inny,0.9994471669197083
ceownik_00212-view05.png,ceownik,inny,0.9801632761955261
ceownik_00216-view03.png,ceownik,inny,0.7419440150260925
ceownik_00217-view04.png,ceownik,inny,0.9932348132133484
ceownik_00226-view04.png,ceownik,inny,0.9741587042808533
ceownik_00238-view01.png,ceownik,inny,0.9738184809684753
ceownik_00240-view03.png,ceownik,inny,0.7911230325698853
dwuteownik_00001-view01.png,inny,ceownik,0.9903656151145697
dwuteownik_00001-view05.png,inny,ceownik,0.7399647533893585
dwuteownik_00006-view04.png,inny,ceownik,0.9971187107730657
dwuteownik_00009-view02.png,inny,ceownik,0.9843667596578598
dwuteownik_00011-view01.png,inny,ceownik,0.5419695377349854
dwuteownik_00024-view04.png,inny,ceownik,0.5985873341560364
dwuteownik_00025-view02.png,inny,ceownik,0.998566433088854
dwuteownik_00028-view01.png,inny,ceownik,0.9947975096292794
dwuteownik_00033-view04.png,inny,ceownik,0.7873598039150238
