Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
katownik_00008-view02.png,katownik,inny,0.3249484598636627
katownik_00052-view04.png,katownik,inny,0.18206769227981567
katownik_00064-view01.png,katownik,inny,0.4762802720069885
katownik_00075-view04.png,katownik,inny,0.20951247215270996
katownik_00094-view02.png,katownik,inny,0.022323288023471832
katownik_00127-view02.png,katownik,inny,0.47119396924972534
katownik_00136-view01.png,katownik,inny,0.35247915983200073
katownik_00137-view02.png,katownik,inny,0.35570529103279114
katownik_00154-view04.png,katownik,inny,0.4355866611003876
katownik_00165-view04.png,katownik,inny,0.46821555495262146
katownik_00173-view03.png,katownik,inny,0.009250057861208916
katownik_00178-view02.png,katownik,inny,0.09826374799013138
katownik_00222-view01.png,katownik,inny,0.34760698676109314
katownik_00245-view04.png,katownik,inny,0.3367789387702942
katownik_00246-view03.png,katownik,inny,0.00030838450766168535
ceownik_00002-view03.png,inny,katownik,0.23536145687103271
ceownik_00039-view03.png,inny,katownik,0.0426977276802063
ceownik_00058-view01.png,inny,katownik,0.025220513343811035
ceownik_00071-view04.png,inny,katownik,0.015246272087097168
ceownik_00080-view02.png,inny,katownik,0.08956646919250488
ceownik_00083-view03.png,inny,katownik,0.48124033212661743
ceownik_00083-view04.png,inny,katownik,0.24817240238189697
dwuteownik_00013-view01.png,inny,katownik,0.15162330865859985
dwuteownik_00031-view04.png,inny,katownik,0.16395819187164307
plaskownik_00075-view04.png,inny,katownik,0.004532575607299805
