Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00005-view02.png,ceownik,katownik,0.051241226,0.00021999642,0.9485284,1.0387997e-05
ceownik_00041-view03.png,ceownik,katownik,0.012864865,3.6116928e-06,0.9871156,1.5843554e-05
ceownik_00068-view02.png,ceownik,dwuteownik,0.009249194,0.9907486,6.169622e-07,1.5800998e-06
ceownik_00068-view04.png,ceownik,plaskownik,0.16968705,0.033500686,0.09169752,0.7051148
ceownik_00069-view02.png,ceownik,dwuteownik,0.19752955,0.5945071,0.0053116367,0.20265166
ceownik_00071-view03.png,ceownik,katownik,0.36563823,0.0010412572,0.63331527,5.2126575e-06
ceownik_00082-view01.png,ceownik,katownik,0.12758814,0.00024370264,0.8721674,7.53685e-07
ceownik_00085-view03.png,ceownik,katownik,0.41094685,0.0006042123,0.5883104,0.00013845027
ceownik_00088-view03.png,ceownik,katownik,0.027316056,0.0002433571,0.97242504,1.549288e-05
ceownik_00091-view01.png,ceownik,dwuteownik,0.19846956,0.6663508,0.050277125,0.08490252
ceownik_00092-view04.png,ceownik,katownik,0.017484194,4.4805736e-07,0.9825068,8.510906e-06
ceownik_00107-view04.png,ceownik,dwuteownik,0.22539242,0.77457595,2.7077758e-05,4.4692347e-06
ceownik_00131-view01.png,ceownik,katownik,0.2179579,0.0035241048,0.77845,6.78925e-05
ceownik_00149-view04.png,ceownik,dwuteownik,0.23136573,0.7669902,0.001632803,1.1262392e-05
ceownik_00154-view03.png,ceownik,katownik,0.4466237,0.00012079033,0.5524998,0.0007557345
ceownik_00170-view02.png,ceownik,katownik,0.04141896,0.0029031765,0.9544179,0.0012599439
ceownik_00170-view04.png,ceownik,katownik,0.36358702,0.012004738,0.624402,6.2182617e-06
ceownik_00190-view03.png,ceownik,dwuteownik,0.30978194,0.69021803,9.967495e-08,1.3176505e-09
ceownik_00231-view02.png,ceownik,dwuteownik,0.118139744,0.8818517,2.6021692e-06,5.9051417e-06
ceownik_00231-view04.png,ceownik,dwuteownik,0.17515524,0.8248446,1.1950164e-07,2.0089381e-09
ceownik_00240-view04.png,ceownik,katownik,0.0010262224,9.076977e-05,0.99799156,0.0008914822
ceownik_00248-view02.png,ceownik,dwuteownik,0.4255936,0.5743098,9.641057e-05,1.14797e-07
dwuteownik_00042-view03.png,dwuteownik,ceownik,0.55911934,0.44087806,2.659476e-06,7.257461e-09
dwuteownik_00046-view01.png,dwuteownik,ceownik,0.37789884,0.28172448,0.3402694,0.000107286425
dwuteownik_00059-view02.png,dwuteownik,plaskownik,0.14035445,0.4131385,0.031828474,0.4146785
dwuteownik_00079-view01.png,dwuteownik,ceownik,0.5159448,0.47850278,0.004946201,0.00060628884
dwuteownik_00079-view04.png,dwuteownik,ceownik,0.9140738,0.078640565,0.0072625983,2.3004597e-05
dwuteownik_00087-view01.png,dwuteownik,ceownik,0.99325114,0.0067471215,1.3790029e-06,2.750163e-07
dwuteownik_00121-view04.png,dwuteownik,katownik,0.18199466,0.019779399,0.7981736,5.2323536e-05
dwuteownik_00146-view03.png,dwuteownik,ceownik,0.6548184,0.34518126,3.5533873e-07,5.070375e-11
dwuteownik_00162-view01.png,dwuteownik,ceownik,0.6814141,0.31663144,0.0018681013,8.6328946e-05
dwuteownik_00165-view03.png,dwuteownik,ceownik,0.8685792,0.1314151,5.530001e-06,1.3048526e-07
dwuteownik_00175-view02.png,dwuteownik,katownik,0.15980232,0.041176446,0.79471195,0.0043092677
dwuteownik_00189-view04.png,dwuteownik,ceownik,0.97511035,0.02487597,1.3765185e-05,9.366246e-09
dwuteownik_00196-view01.png,dwuteownik,ceownik,0.9503439,0.048965793,0.0006877072,2.5267036e-06
dwuteownik_00199-view01.png,dwuteownik,ceownik,0.64713556,0.29495993,0.014841101,0.043063372
dwuteownik_00202-view04.png,dwuteownik,katownik,0.068574145,0.0014750628,0.9198466,0.0101042
dwuteownik_00227-view01.png,dwuteownik,ceownik,0.9650339,0.03200537,0.0029601522,6.605751e-07
dwuteownik_00232-view02.png,dwuteownik,ceownik,0.5709204,0.42672846,0.002348874,2.2860256e-06
dwuteownik_00241-view02.png,dwuteownik,ceownik,0.99174,0.005715991,0.0015946572,0.0009492928
dwuteownik_00245-view03.png,dwuteownik,ceownik,0.7135325,0.28633532,0.00013215806,1.7145046e-08
katownik_00120-view03.png,katownik,ceownik,0.95138717,0.0046179574,0.043926515,6.832941e-05
katownik_00132-view03.png,katownik,plaskownik,0.017801926,0.00023526896,0.32440332,0.6575595
katownik_00156-view02.png,katownik,ceownik,0.94112486,2.6451886e-05,0.05884182,6.838074e-06
plaskownik_00160-view03.png,plaskownik,dwuteownik,0.11637844,0.54926854,0.0676032,0.26674983
plaskownik_00195-view01.png,plaskownik,katownik,7.3952964e-05,9.413557e-08,0.9965953,0.0033306123
