Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00001-view02.png,ceownik,plaskownik,0.0016196043,0.00016156065,0.0003251899,0.99789363
ceownik_00002-view02.png,ceownik,katownik,0.15267345,0.00013003685,0.8471955,9.726565e-07
ceownik_00002-view04.png,ceownik,katownik,0.008754546,0.0022936717,0.9889502,1.5200119e-06
ceownik_00004-view03.png,ceownik,katownik,0.06661032,0.012020162,0.9213678,1.6966759e-06
ceownik_00015-view01.png,ceownik,dwuteownik,0.08116779,0.9187394,9.279013e-05,1.0680016e-10
ceownik_00022-view01.png,ceownik,dwuteownik,0.2966731,0.70332235,4.223936e-06,2.8330118e-07
ceownik_00024-view02.png,ceownik,dwuteownik,0.15510619,0.8447043,0.00018699733,2.5274474e-06
ceownik_00026-view03.png,ceownik,dwuteownik,0.09000805,0.9099837,8.034847e-06,1.7339784e-07
ceownik_00029-view01.png,ceownik,dwuteownik,0.024222799,0.97577715,3.9971194e-08,1.6764857e-09
ceownik_00029-view03.png,ceownik,katownik,0.4497873,0.00050270243,0.54965377,5.626433e-05
ceownik_00038-view04.png,ceownik,katownik,0.18186128,3.1478413e-07,0.8181381,2.772225e-07
ceownik_00045-view04.png,ceownik,dwuteownik,1.3928751e-05,0.99998605,9.182522e-11,3.2333347e-09
ceownik_00053-view02.png,ceownik,plaskownik,0.0060436735,0.00010727351,1.2376412e-08,0.9938491
ceownik_00056-view04.png,ceownik,katownik,0.011737723,0.005042841,0.9832108,8.715047e-06
ceownik_00064-view03.png,ceownik,dwuteownik,0.04332906,0.9566709,3.675602e-10,5.0701658e-11
ceownik_00069-view01.png,ceownik,plaskownik,0.1462583,0.028489547,0.00038368744,0.8248685
ceownik_00069-view03.png,ceownik,plaskownik,0.06586207,0.02107606,0.09352723,0.8195346
ceownik_00070-view01.png,ceownik,dwuteownik,0.25066376,0.74932927,4.80736e-07,6.4769274e-06
ceownik_00077-view03.png,ceownik,dwuteownik,0.35858086,0.63856465,0.0022464304,0.00060804
ceownik_00082-view02.png,ceownik,dwuteownik,0.16941151,0.5448983,0.28569013,1.0650497e-07
ceownik_00086-view02.png,ceownik,dwuteownik,0.36071086,0.6181706,0.020286279,0.0008322072
ceownik_00086-view04.png,ceownik,dwuteownik,0.0034319875,0.99656564,2.0422644e-06,3.8936992e-07
ceownik_00089-view04.png,ceownik,dwuteownik,0.45737007,0.52675796,0.015604828,0.00026715227
ceownik_00090-view04.png,ceownik,dwuteownik,0.0019384673,0.99625105,0.0003425235,0.0014680163
ceownik_00097-view01.png,ceownik,dwuteownik,0.19893438,0.8010464,1.6871612e-05,2.4452338e-06
ceownik_00107-view01.png,ceownik,dwuteownik,0.054342322,0.94565773,6.0199254e-09,1.2156201e-08
ceownik_00114-view04.png,ceownik,dwuteownik,0.020915557,0.9790844,1.1150169e-07,3.158732e-12
ceownik_00115-view03.png,ceownik,dwuteownik,0.39677078,0.6032137,2.750103e-06,1.2682691e-05
ceownik_00134-view04.png,ceownik,dwuteownik,0.33312482,0.66687477,8.44124e-08,2.8393765e-07
ceownik_00147-view03.png,ceownik,dwuteownik,0.0027189055,0.9972811,1.197245e-10,3.5264793e-09
ceownik_00156-view01.png,ceownik,katownik,0.35205442,0.01655348,0.63139206,1.3707003e-08
ceownik_00156-view03.png,ceownik,dwuteownik,2.283821e-05,0.9999771,3.652806e-12,2.0310607e-13
ceownik_00157-view02.png,ceownik,dwuteownik,0.06496162,0.9350384,3.476597e-10,5.3407714e-09
ceownik_00158-view01.png,ceownik,katownik,0.03836,0.008192073,0.9526945,0.0007535804
ceownik_00160-view01.png,ceownik,dwuteownik,0.15196165,0.84792775,0.000110573535,1.0795121e-10
ceownik_00160-view03.png,ceownik,dwuteownik,0.077086434,0.9229017,6.6130037e-06,5.290332e-06
ceownik_00161-view04.png,ceownik,plaskownik,0.35139546,0.005559199,9.918999e-07,0.64304435
ceownik_00168-view01.png,ceownik,dwuteownik,0.04299805,0.9570019,1.5999396e-08,2.1871658e-09
ceownik_00169-view02.png,ceownik,plaskownik,0.06951149,7.1178976e-05,0.030431453,0.89998585
