Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
dwuteownik_00010-view01.png,dwuteownik,ceownik,0.44453713,0.18236944,0.15876369,0.21432972
dwuteownik_00010-view02.png,dwuteownik,ceownik,0.46984726,0.1759911,0.1497434,0.20441824
dwuteownik_00010-view03.png,dwuteownik,ceownik,0.3136073,0.22550382,0.20494045,0.25594842
dwuteownik_00020-view04.png,dwuteownik,ceownik,0.61728096,0.13535434,0.100649506,0.1467152
dwuteownik_00021-view04.png,dwuteownik,ceownik,0.72098196,0.11759717,0.06506541,0.09635541
dwuteownik_00029-view02.png,dwuteownik,ceownik,0.5915055,0.14285824,0.10884358,0.15679263
dwuteownik_00032-view03.png,dwuteownik,ceownik,0.7054216,0.1576987,0.057954337,0.07892529
dwuteownik_00033-view01.png,dwuteownik,ceownik,0.35485986,0.3499286,0.14019799,0.15501355
dwuteownik_00043-view01.png,dwuteownik,ceownik,0.85260636,0.059170518,0.032939542,0.055283584
dwuteownik_00043-view03.png,dwuteownik,ceownik,0.7885271,0.08138016,0.050061002,0.08003177
dwuteownik_00044-view03.png,dwuteownik,ceownik,0.4662922,0.32573974,0.09755561,0.11041242
katownik_00001-view04.png,katownik,plaskownik,0.2914237,0.07723819,0.25663304,0.37470508
katownik_00002-view01.png,katownik,ceownik,0.6515105,0.1251405,0.09000462,0.13334438
katownik_00010-view02.png,katownik,ceownik,0.33616576,0.15045448,0.21874176,0.29463804
katownik_00010-view03.png,katownik,ceownik,0.6685644,0.009628657,0.101998314,0.2198086
katownik_00011-view04.png,katownik,plaskownik,0.12311053,0.021749016,0.33172116,0.52341926
katownik_00012-view03.png,katownik,plaskownik,0.08922176,0.011445924,0.33784518,0.56148714
katownik_00013-view02.png,katownik,plaskownik,0.18873452,0.011628389,0.2837564,0.5158807
katownik_00014-view02.png,katownik,plaskownik,0.12088925,0.020961354,0.33227104,0.5258783
katownik_00017-view04.png,katownik,plaskownik,0.27966073,0.054278474,0.26338604,0.4026747
katownik_00022-view01.png,katownik,ceownik,0.7622347,0.055275265,0.10205823,0.08043178
katownik_00022-view02.png,katownik,ceownik,0.42307878,0.09582214,0.19423388,0.28686526
katownik_00025-view01.png,katownik,plaskownik,0.2343724,0.016618306,0.27005744,0.47895175
katownik_00026-view01.png,katownik,ceownik,0.5005086,0.010063655,0.15890974,0.33051798
katownik_00031-view01.png,katownik,plaskownik,0.26903948,0.013934521,0.25168118,0.46534485
katownik_00031-view02.png,katownik,plaskownik,0.30352768,0.012989692,0.23613526,0.44734737
katownik_00032-view02.png,katownik,plaskownik,0.029754002,0.0009929665,0.3173982,0.6518549
katownik_00032-view04.png,katownik,plaskownik,0.010562068,0.00013337769,0.30748585,0.6818187
katownik_00033-view01.png,katownik,plaskownik,0.027483685,0.0006973698,0.45468384,0.51713514
katownik_00037-view01.png,katownik,plaskownik,0.018569063,0.0005775211,0.317271,0.6635824
katownik_00040-view04.png,katownik,plaskownik,0.028930556,0.0013263652,0.32718322,0.6425598
katownik_00041-view03.png,katownik,plaskownik,0.024096977,0.0008991822,0.38080558,0.5941982
katownik_00044-view02.png,katownik,plaskownik,0.049085192,0.0021054477,0.36321148,0.5855979
katownik_00044-view03.png,katownik,plaskownik,0.011347709,0.00020692204,0.47344813,0.5149973
katownik_00047-view01.png,katownik,plaskownik,0.004978936,4.3989898e-05,0.45452845,0.5404486
katownik_00048-view03.png,katownik,plaskownik,0.0056628995,5.7359448e-05,0.40566713,0.5886126
plaskownik_00001-view01.png,plaskownik,ceownik,0.31550595,0.2080927,0.20947513,0.26692623
plaskownik_00003-view02.png,plaskownik,ceownik,0.4705479,0.0067457953,0.16400017,0.3587061
plaskownik_00008-view01.png,plaskownik,ceownik,0.5573103,0.015008968,0.14318183,0.28449896
plaskownik_00035-view02.png,plaskownik,ceownik,0.31669384,0.21121334,0.20779061,0.26430216
plaskownik_00044-view02.png,plaskownik,ceownik,0.476761,0.08298312,0.17415354,0.2661023
plaskownik_00045-view01.png,plaskownik,ceownik,0.45110133,0.014992819,0.18144166,0.35246414
