Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00003-view02.png,ceownik,dwuteownik,0.4151556,0.5515176,0.018393692,0.014933078
ceownik_00003-view04.png,ceownik,dwuteownik,0.22153431,0.4140666,0.30643204,0.057967015
ceownik_00004-view02.png,ceownik,dwuteownik,0.16850615,0.7870243,0.03332542,0.011144168
ceownik_00005-view01.png,ceownik,dwuteownik,0.4135412,0.4749053,0.07095518,0.040598296
ceownik_00006-view03.png,ceownik,dwuteownik,0.15112889,0.7713757,0.07003129,0.0074640824
dwuteownik_00020-view01.png,dwuteownik,plaskownik,0.07477783,0.017756907,0.3721462,0.53531903
dwuteownik_00020-view02.png,dwuteownik,plaskownik,0.044627186,0.04917066,0.22661373,0.6795884
dwuteownik_00020-view03.png,dwuteownik,plaskownik,0.08428519,0.09363988,0.02968464,0.7923903
dwuteownik_00029-view01.png,dwuteownik,ceownik,0.6665838,0.25348482,0.046261046,0.033670373
dwuteownik_00046-view03.png,dwuteownik,ceownik,0.6052069,0.27676016,0.027402926,0.090629995
katownik_00001-view03.png,katownik,plaskownik,0.16186482,0.009483135,0.38162822,0.44702378
katownik_00004-view01.png,katownik,dwuteownik,0.151226,0.46403873,0.37726703,0.0074683037
katownik_00007-view04.png,katownik,ceownik,0.69198996,0.13542372,0.1309485,0.04163788
katownik_00008-view03.png,katownik,dwuteownik,0.27246463,0.32579097,0.12822689,0.27351755
katownik_00030-view04.png,katownik,ceownik,0.6909409,0.0359909,0.15964414,0.11342405
plaskownik_00017-view02.png,plaskownik,katownik,0.30529973,0.017395008,0.5972648,0.080040425
plaskownik_00017-view04.png,plaskownik,ceownik,0.65621,0.057596505,0.066821225,0.21937233
plaskownik_00021-view04.png,plaskownik,ceownik,0.49016148,0.08473805,0.045815717,0.3792847
plaskownik_00023-view03.png,plaskownik,katownik,0.0019531783,0.0033969923,0.4981384,0.49651146
plaskownik_00028-view02.png,plaskownik,katownik,0.008030506,0.015133989,0.67953867,0.29729682
