Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00001-view03.png,ceownik,katownik,0.27505288,0.14890434,0.47036132,0.10568149
ceownik_00007-view04.png,ceownik,dwuteownik,0.28456932,0.7021868,0.012211996,0.0010319223
ceownik_00014-view03.png,ceownik,katownik,0.3381065,0.14300963,0.37547046,0.14341341
ceownik_00016-view02.png,ceownik,katownik,0.39427373,0.09039154,0.48218217,0.033152483
ceownik_00017-view01.png,ceownik,dwuteownik,0.1551812,0.46518508,0.20071186,0.17892183
ceownik_00018-view03.png,ceownik,katownik,0.17078099,0.335896,0.48299083,0.010332108
ceownik_00019-view01.png,ceownik,dwuteownik,0.24257557,0.51686114,0.18066874,0.059894547
ceownik_00042-view04.png,ceownik,dwuteownik,0.30630937,0.6221884,0.06833086,0.0031713846
ceownik_00048-view04.png,ceownik,katownik,0.089720316,0.17400683,0.5415297,0.1947431
ceownik_00050-view03.png,ceownik,plaskownik,0.10391227,0.20756401,0.17088291,0.5176408
dwuteownik_00001-view03.png,dwuteownik,plaskownik,0.08637069,0.27712324,0.14973502,0.48677105
dwuteownik_00005-view01.png,dwuteownik,ceownik,0.60898376,0.28290132,0.09733217,0.01078278
dwuteownik_00025-view04.png,dwuteownik,plaskownik,0.07448851,0.30232173,0.1718683,0.45132145
dwuteownik_00038-view03.png,dwuteownik,katownik,0.2528048,0.30754003,0.42003652,0.0196187
dwuteownik_00046-view04.png,dwuteownik,katownik,0.3256687,0.012800224,0.6571355,0.0043955944
dwuteownik_00048-view01.png,dwuteownik,plaskownik,0.34375095,0.13583829,0.12559284,0.39481786
dwuteownik_00048-view03.png,dwuteownik,ceownik,0.5322344,0.32788217,0.05758857,0.08229486
dwuteownik_00048-view04.png,dwuteownik,ceownik,0.35898826,0.21149811,0.08592483,0.34358877
katownik_00003-view04.png,katownik,ceownik,0.69028574,0.060692873,0.16812542,0.08089593
katownik_00012-view02.png,katownik,plaskownik,0.0067598773,0.0072947727,0.19591056,0.7900348
katownik_00016-view03.png,katownik,ceownik,0.42215112,0.086690046,0.41659382,0.074565
katownik_00022-view03.png,katownik,ceownik,0.5890686,0.09653101,0.29836056,0.01603987
katownik_00024-view03.png,katownik,ceownik,0.46990812,0.048245803,0.38627723,0.09556886
katownik_00026-view02.png,katownik,ceownik,0.42190802,0.23543532,0.33950123,0.0031554385
katownik_00027-view01.png,katownik,ceownik,0.563295,0.0668594,0.36939627,0.00044936137
katownik_00029-view02.png,katownik,ceownik,0.54013205,0.20880993,0.2437383,0.007319739
katownik_00033-view02.png,katownik,ceownik,0.8191077,0.1115894,0.060110774,0.009192162
katownik_00038-view01.png,katownik,ceownik,0.60071844,0.13960643,0.25245878,0.0072163693
katownik_00039-view04.png,katownik,ceownik,0.4113245,0.22194722,0.33088744,0.035840828
katownik_00042-view01.png,katownik,dwuteownik,0.09813291,0.50095165,0.30659625,0.09431922
katownik_00050-view04.png,katownik,plaskownik,0.066188395,0.09112705,0.2140758,0.62860876
plaskownik_00012-view01.png,plaskownik,katownik,0.14592423,0.02126557,0.45379794,0.3790123
plaskownik_00046-view03.png,plaskownik,katownik,0.049443707,0.036251176,0.659763,0.25454214
