Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00002-view02.png,ceownik,katownik,0.321511,0.020313015,0.6399157,0.018260196
ceownik_00004-view03.png,ceownik,dwuteownik,0.29275894,0.35394385,0.27222043,0.0810768
ceownik_00006-view02.png,ceownik,katownik,0.08569409,0.013793941,0.6913822,0.2091297
ceownik_00013-view03.png,ceownik,dwuteownik,0.35855398,0.37769,0.19782196,0.06593406
ceownik_00021-view02.png,ceownik,dwuteownik,0.18040709,0.3116534,0.28542587,0.22251363
ceownik_00041-view04.png,ceownik,katownik,0.1440227,0.040042654,0.5362549,0.2796798
ceownik_00048-view03.png,ceownik,dwuteownik,0.15039264,0.73703504,0.08461315,0.02795914
ceownik_00050-view04.png,ceownik,katownik,0.2877998,0.062056676,0.592731,0.057412475
dwuteownik_00004-view04.png,dwuteownik,ceownik,0.6098934,0.34922606,0.03688087,0.0039997227
dwuteownik_00007-view01.png,dwuteownik,ceownik,0.4032521,0.3406928,0.20125975,0.0547954
dwuteownik_00011-view03.png,dwuteownik,katownik,0.0927118,0.06969894,0.6453513,0.19223802
dwuteownik_00029-view03.png,dwuteownik,ceownik,0.61131585,0.3792916,0.0090206545,0.00037191235
dwuteownik_00033-view02.png,dwuteownik,ceownik,0.5491067,0.27673686,0.13474251,0.03941385
dwuteownik_00034-view02.png,dwuteownik,ceownik,0.47061485,0.18806553,0.21163777,0.12968186
dwuteownik_00035-view03.png,dwuteownik,ceownik,0.6896519,0.30147624,0.008528109,0.0003437498
dwuteownik_00042-view02.png,dwuteownik,ceownik,0.5473687,0.35808504,0.060592324,0.033953924
dwuteownik_00043-view02.png,dwuteownik,katownik,0.2821739,0.028340708,0.6045756,0.08490983
dwuteownik_00046-view01.png,dwuteownik,ceownik,0.63128674,0.073838755,0.28427464,0.010599856
dwuteownik_00046-view02.png,dwuteownik,katownik,0.25417653,0.14669918,0.5689536,0.03017073
katownik_00002-view02.png,katownik,plaskownik,0.10659802,0.06285796,0.3716068,0.4589373
katownik_00005-view01.png,katownik,dwuteownik,0.231689,0.3242874,0.30088454,0.14313902
katownik_00013-view04.png,katownik,ceownik,0.46295497,0.06327339,0.41838306,0.055388607
katownik_00018-view03.png,katownik,dwuteownik,0.29291373,0.3910085,0.24494818,0.07112961
katownik_00020-view02.png,katownik,dwuteownik,0.06741519,0.59962076,0.13344854,0.19951549
katownik_00021-view02.png,katownik,plaskownik,0.007870633,0.022864526,0.09461948,0.87464535
katownik_00028-view03.png,katownik,ceownik,0.71475154,0.029897753,0.23498438,0.020366313
katownik_00030-view03.png,katownik,ceownik,0.710658,0.03325608,0.20352258,0.052563317
katownik_00039-view03.png,katownik,dwuteownik,0.12870008,0.5974769,0.21642564,0.05739741
katownik_00041-view02.png,katownik,plaskownik,0.0816918,0.058585633,0.2121654,0.6475572
katownik_00046-view04.png,katownik,plaskownik,0.20564646,0.006828305,0.367665,0.41986024
plaskownik_00007-view04.png,plaskownik,katownik,0.027006654,0.042266246,0.59937483,0.33135226
plaskownik_00019-view02.png,plaskownik,katownik,0.23415168,0.05921291,0.38262436,0.32401106
plaskownik_00023-view02.png,plaskownik,dwuteownik,0.041125726,0.44476134,0.16882867,0.34528428
plaskownik_00024-view04.png,plaskownik,ceownik,0.5758486,0.043014575,0.14696431,0.23417251
plaskownik_00031-view03.png,plaskownik,katownik,0.12620981,0.019013196,0.48175374,0.3730233
plaskownik_00034-view01.png,plaskownik,katownik,0.08550783,0.08045313,0.5165928,0.31744623
plaskownik_00048-view01.png,plaskownik,katownik,0.019880205,0.017837886,0.6012381,0.36104384
