Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00001-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00002-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00003-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00003-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00003-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00004-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00005-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00006-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00006-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00007-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00008-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00009-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00012-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00012-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00013-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00014-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00017-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00017-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00020-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00022-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00024-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00026-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00027-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00028-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00029-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00033-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00033-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00035-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00035-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00037-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00039-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00039-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00040-view01.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00041-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00042-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00043-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00043-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00044-view03.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00047-view04.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
ceownik_00048-view02.png,ceownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00003-view01.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00005-view02.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00006-view01.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00006-view04.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00007-view04.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00011-view01.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00012-view01.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00016-view02.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
dwuteownik_00016-view03.png,dwuteownik,katownik,0.25531712,0.23121718,0.25787258,0.2555931
