Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00001-view04.png,ceownik,plaskownik,0.0653656,0.00043827514,0.0002754435,0.9339207
ceownik_00003-view01.png,ceownik,katownik,0.0063330918,0.00032490664,0.9928618,0.00048022324
ceownik_00042-view03.png,ceownik,dwuteownik,0.19333579,0.76421434,0.04244771,2.2042252e-06
ceownik_00050-view04.png,ceownik,dwuteownik,0.01198808,0.98795193,5.9874605e-05,5.1747e-08
ceownik_00053-view01.png,ceownik,dwuteownik,6.1317596e-06,0.9999939,3.5838682e-12,6.4983665e-12
ceownik_00053-view04.png,ceownik,plaskownik,0.10214461,0.00018415859,0.066901654,0.8307696
ceownik_00055-view01.png,ceownik,dwuteownik,0.1060952,0.59434015,0.29956293,1.6943044e-06
ceownik_00065-view04.png,ceownik,dwuteownik,0.06690961,0.93309045,9.101649e-10,3.3121604e-14
ceownik_00072-view02.png,ceownik,dwuteownik,0.005021564,0.99497825,1.05161256e-07,1.3335822e-09
ceownik_00080-view01.png,ceownik,katownik,0.35089216,0.036491603,0.6118372,0.00077901804
ceownik_00081-view02.png,ceownik,dwuteownik,0.043675605,0.9456928,0.0057060393,0.0049255514
ceownik_00087-view02.png,ceownik,dwuteownik,0.006740592,0.99305433,0.00019103833,1.3942057e-05
ceownik_00087-view04.png,ceownik,dwuteownik,0.21449563,0.78488696,6.62441e-05,0.000551197
ceownik_00091-view02.png,ceownik,dwuteownik,0.42102328,0.5663664,0.012608884,1.4704046e-06
ceownik_00091-view03.png,ceownik,katownik,0.15079299,0.00034295977,0.8484306,0.00043352545
ceownik_00091-view04.png,ceownik,dwuteownik,0.018147524,0.98183733,1.5032655e-05,6.6046454e-08
ceownik_00103-view02.png,ceownik,dwuteownik,0.22712329,0.77112514,0.001368996,0.00038250932
ceownik_00121-view01.png,ceownik,dwuteownik,0.11947589,0.88050765,1.6495644e-05,9.083468e-09
ceownik_00124-view01.png,ceownik,dwuteownik,0.044309463,0.95568484,4.633921e-06,1.0794516e-06
ceownik_00127-view01.png,ceownik,dwuteownik,0.006400883,0.9935927,6.340664e-06,2.7605923e-08
ceownik_00127-view02.png,ceownik,dwuteownik,0.24208829,0.7573561,0.00049925235,5.6358298e-05
ceownik_00137-view02.png,ceownik,dwuteownik,0.17284428,0.82715523,4.5362628e-07,4.7276037e-11
