Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00003-view04.png,ceownik,katownik,0.17022021,0.04969766,0.7800624,1.9780477e-05
ceownik_00005-view01.png,ceownik,katownik,0.3822448,0.19232632,0.4251455,0.00028335533
ceownik_00005-view02.png,ceownik,katownik,0.08326819,0.019205537,0.8972527,0.00027359976
ceownik_00014-view02.png,ceownik,dwuteownik,0.31497845,0.65479636,0.030202163,2.3032624e-05
ceownik_00014-view03.png,ceownik,katownik,0.45048827,0.02581151,0.5236956,4.6621526e-06
ceownik_00030-view03.png,ceownik,katownik,0.19338062,0.01830612,0.788313,3.248762e-07
ceownik_00039-view03.png,ceownik,katownik,0.16279836,0.0010623545,0.7280798,0.10805954
ceownik_00041-view03.png,ceownik,katownik,0.006701688,0.00026023394,0.9913265,0.0017114771
ceownik_00058-view03.png,ceownik,katownik,0.14058557,0.005260724,0.84815943,0.0059943143
ceownik_00068-view02.png,ceownik,dwuteownik,0.0017990051,0.9982009,1.3009094e-07,5.2761044e-09
ceownik_00068-view04.png,ceownik,dwuteownik,0.054796916,0.91791767,6.196038e-05,0.02722348
ceownik_00082-view01.png,ceownik,katownik,0.18139537,0.0059449766,0.8126595,1.3694873e-07
ceownik_00085-view03.png,ceownik,katownik,0.38745227,0.035976432,0.57594365,0.0006276427
ceownik_00090-view02.png,ceownik,katownik,0.27455205,0.24107426,0.4843579,1.5887534e-05
ceownik_00092-view02.png,ceownik,dwuteownik,0.2934296,0.70654887,2.152913e-05,6.992608e-09
ceownik_00100-view02.png,ceownik,dwuteownik,0.2560633,0.7439295,7.1483146e-06,6.669764e-08
ceownik_00111-view01.png,ceownik,dwuteownik,0.49645174,0.5010689,0.0024707296,8.675541e-06
ceownik_00114-view03.png,ceownik,plaskownik,0.17933072,0.04851211,0.023177879,0.7489793
ceownik_00117-view01.png,ceownik,dwuteownik,0.4571474,0.5198618,0.022967214,2.3541648e-05
ceownik_00120-view02.png,ceownik,katownik,0.06990768,0.007100276,0.9229806,1.1404698e-05
