Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,plaskownik
ceownik_00005-view03.png,ceownik,katownik,0.34810656,0.10568445,0.54617983,2.9168617e-05
ceownik_00021-view04.png,ceownik,dwuteownik,0.36928084,0.63055277,0.00015886706,7.5741727e-06
ceownik_00033-view02.png,ceownik,katownik,0.37525183,0.063806705,0.49221018,0.06873124
ceownik_00048-view03.png,ceownik,dwuteownik,0.47138092,0.528483,6.6120054e-05,6.998498e-05
ceownik_00053-view03.png,ceownik,plaskownik,0.01534224,0.00022128141,0.0014134533,0.983023
ceownik_00059-view03.png,ceownik,katownik,0.020029543,2.92042e-05,0.9799406,7.0936534e-07
ceownik_00061-view04.png,ceownik,katownik,0.098874815,4.1671123e-05,0.9010806,2.9516702e-06
ceownik_00067-view01.png,ceownik,plaskownik,0.06926434,0.015786672,2.0369618e-05,0.9149286
ceownik_00073-view03.png,ceownik,katownik,0.32329857,4.659414e-06,0.6766958,9.948784e-07
ceownik_00076-view02.png,ceownik,plaskownik,0.054241538,1.7533877e-05,0.18300933,0.7627316
ceownik_00077-view01.png,ceownik,katownik,0.016983062,0.0010767366,0.98193973,4.278479e-07
ceownik_00078-view01.png,ceownik,dwuteownik,0.022754831,0.977231,1.39686545e-05,1.3686684e-07
ceownik_00078-view02.png,ceownik,dwuteownik,0.16513596,0.8311838,0.0036794916,6.835468e-07
ceownik_00078-view03.png,ceownik,dwuteownik,0.22331497,0.77231836,0.0043666377,3.8417046e-08
ceownik_00084-view04.png,ceownik,katownik,0.3277588,0.00010473615,0.6721262,1.0354166e-05
ceownik_00085-view04.png,ceownik,katownik,0.295438,0.025771894,0.6784776,0.00031249414
ceownik_00086-view01.png,ceownik,katownik,0.04820712,6.9653826e-05,0.95172286,3.5403923e-07
ceownik_00093-view03.png,ceownik,katownik,0.061756942,0.0006758105,0.9375353,3.198164e-05
ceownik_00103-view04.png,ceownik,dwuteownik,0.16428508,0.83571476,1.8569034e-07,3.1605446e-10
ceownik_00108-view03.png,ceownik,dwuteownik,0.42895302,0.5710019,4.4990775e-05,7.1337894e-08
ceownik_00110-view02.png,ceownik,katownik,0.35862842,0.0037581928,0.63761336,2.1766777e-08
ceownik_00110-view03.png,ceownik,dwuteownik,0.43980056,0.47110924,0.08903439,5.575965e-05
ceownik_00113-view03.png,ceownik,dwuteownik,0.22444415,0.77555585,3.0287097e-08,6.1362704e-10
ceownik_00121-view04.png,ceownik,katownik,0.061718572,0.00210785,0.8193751,0.11679851
ceownik_00127-view04.png,ceownik,dwuteownik,0.14199111,0.8580064,2.3715495e-06,3.8728015e-08
ceownik_00145-view01.png,ceownik,katownik,0.37498355,0.034592018,0.5904244,1.2141462e-08
